cohort,gene_symbol,hedges_g,variance
GSE96804,COL6A6,1.6005121814187975,0.09609905104540475
GSE96804,COL7A1,1.159825572129596,0.08579020456147075
GSE96804,COL8A1,1.270694204012856,0.08807383508982772
GSE96804,COL8A2,-0.020821190521437136,0.0743939178174791
GSE96804,COL9A1,0.7393226089080657,0.07902242966551215
GSE96804,COL9A2,1.2426831174179283,0.0874772043288419
GSE96804,COL9A3,1.2297746474341293,0.08720673274541985
GSE96804,COLEC10,0.8791344501436438,0.08094005221963704
GSE96804,COLEC11,-1.3670351697359977,0.09022740623544859
GSE96804,COMP,1.1721515227914414,0.08603379638025507
GSE96804,CPB2,0.3449706537887601,0.07539875874968856
GSE96804,CPN1,0.16874553838399003,0.07463155794247718
GSE96804,CPN2,-0.5230684079519692,0.07670889271089162
GSE96804,CR1,-1.2073862156925717,0.08674432418925622
GSE96804,CR2,-1.1606903463239262,0.08580721068252001
GSE96804,CREBBP,-0.539186559579475,0.076853990902703
GSE96804,CRP,-0.5789629239566035,0.07723090548986597
GSE96804,CTRB1,-0.34346930185310387,0.07538999950680732
GSE96804,CTRB2,-0.7266954109652559,0.07886555085428616
GSE96804,CTSB,-0.4844547124167896,0.07637919617686982
GSE96804,CTSD,-1.4575888017859793,0.09239503301338721
GSE96804,CTSG,0.5279468319692072,0.07675234438876379
GSE96804,CTSK,1.471906581181247,0.09275048952722434
GSE96804,CTSS,-0.06941480338766028,0.074431077927264
GSE96804,CUL2,0.11468654966895021,0.07450171004375232
GSE96804,CX3CL1,-1.852350693124661,0.1034682361932815
GSE96804,CX3CR1,0.5736592372928643,0.07717909916117996
GSE96804,CXADR,-0.4163272713105861,0.07585912862139596
GSE96804,CXCL1,0.05598220704487877,0.07441680328807983
GSE96804,CXCL10,0.38625454232791234,0.07565458772844703
GSE96804,CXCL11,0.4113777718112059,0.07582441060701828
GSE96804,CXCL12,-0.23111602767750772,0.07484291015879013
GSE96804,CXCL13,0.06537910293711449,0.0744264678609209
GSE96804,CXCL16,0.7503982156976117,0.0791622564627963
GSE96804,CXCL2,-0.6687111872704191,0.07817985959718998
GSE96804,CXCL3,-0.2431767460212782,0.07489138737536696
GSE96804,CXCL5,-0.0016400002732455564,0.07439026669566695
GSE96804,CXCL6,0.6715740510922359,0.0782123770049851
GSE96804,CXCL9,-0.40185074219053396,0.07575875253802447
GSE96804,CXCR1,-2.709624213650292,0.13661111999735395
GSE96804,CXCR2,-3.121158425408673,0.15694642963548605
GSE96804,CXCR3,0.854506289333994,0.08057821846609454
GSE96804,CXCR4,-1.1023723071371974,0.084688758339244
GSE96804,CXCR5,0.011085820631104923,0.07439128538904127
GSE96804,CXCR6,1.3180676062314556,0.08911314402614004
GSE96804,DAG1,-0.4067149630568862,0.07579208340391669
GSE96804,DCN,-1.2148906488284517,0.08689837346693746
GSE96804,DDR1,-0.22529316216872783,0.07482038804582872
GSE96804,DDR2,1.1519662941084454,0.08563622985804872
GSE96804,DMD,0.8235403378192632,0.0801378599025701
GSE96804,DMP1,0.26982560740428146,0.075007242702533
GSE96804,DOK2,-0.10743996443363484,0.07448806886818055
GSE96804,DRP2,0.6958981008932283,0.07849426226537802
GSE96804,DSPP,0.017435511304272577,0.0743928201486631
GSE96804,DTNA,-0.7926832172323748,0.07971521579126842
