dataset,sample_1,sample_2,pearson_correlation
GSE142025 C1,GSM4217787,GSM4217793,0.7355059747650091
GSE142025 C1,GSM4217787,GSM4217794,0.6449358306159186
GSE142025 C1,GSM4217787,GSM4217795,0.8007626404102605
GSE142025 C1,GSM4217787,GSM4217796,0.6236117675467778
GSE142025 C1,GSM4217787,GSM4217797,0.4093598878974271
GSE142025 C1,GSM4217787,GSM4217798,0.5644561101794923
GSE142025 C1,GSM4217787,GSM4217799,0.7109151592739853
GSE142025 C1,GSM4217787,GSM4217800,0.6264369519783863
GSE142025 C1,GSM4217787,GSM4217801,0.44029554592254955
GSE142025 C1,GSM4217787,GSM4217808,0.3132140557750865
GSE142025 C1,GSM4217787,GSM4217809,0.27155067674798566
GSE142025 C1,GSM4217787,GSM4217810,0.3756282847688638
GSE142025 C1,GSM4217787,GSM4217811,0.3129380443985174
GSE142025 C1,GSM4217787,GSM4217812,0.3544079424766871
GSE142025 C1,GSM4217787,GSM4217813,0.28468965466062723
GSE142025 C1,GSM4217787,GSM4217814,0.34069988131713813
GSE142025 C1,GSM4217787,GSM4217815,0.2864031053233589
GSE142025 C1,GSM4217787,GSM4217816,0.3558936356723301
GSE142025 C1,GSM4217788,GSM4217789,0.8619602040275561
GSE142025 C1,GSM4217788,GSM4217790,0.6445479118804245
GSE142025 C1,GSM4217788,GSM4217791,0.7235554987941123
GSE142025 C1,GSM4217788,GSM4217792,0.7042017869576304
GSE142025 C1,GSM4217788,GSM4217793,0.863836174303051
GSE142025 C1,GSM4217788,GSM4217794,0.8226617916777561
GSE142025 C1,GSM4217788,GSM4217795,0.870046855121256
GSE142025 C1,GSM4217788,GSM4217796,0.7767991296050962
GSE142025 C1,GSM4217788,GSM4217797,0.5870266205607542
GSE142025 C1,GSM4217788,GSM4217798,0.7588600843732549
GSE142025 C1,GSM4217788,GSM4217799,0.7492626269386347
GSE142025 C1,GSM4217788,GSM4217800,0.7666126503090507
GSE142025 C1,GSM4217788,GSM4217801,0.6224557396741159
GSE142025 C1,GSM4217788,GSM4217808,0.4682721240397302
GSE142025 C1,GSM4217788,GSM4217809,0.3817671278809006
GSE142025 C1,GSM4217788,GSM4217810,0.569317699021006
GSE142025 C1,GSM4217788,GSM4217811,0.43425574600025907
GSE142025 C1,GSM4217788,GSM4217812,0.5212826484224676
GSE142025 C1,GSM4217788,GSM4217813,0.3943645689462479
GSE142025 C1,GSM4217788,GSM4217814,0.5240931839054351
GSE142025 C1,GSM4217788,GSM4217815,0.41308446155626494
GSE142025 C1,GSM4217788,GSM4217816,0.5097308021110174
GSE142025 C1,GSM4217789,GSM4217790,0.7148752240382644
GSE142025 C1,GSM4217789,GSM4217791,0.7656427564221816
GSE142025 C1,GSM4217789,GSM4217792,0.7851185255576827
GSE142025 C1,GSM4217789,GSM4217793,0.8550015896722786
GSE142025 C1,GSM4217789,GSM4217794,0.8687099198689157
GSE142025 C1,GSM4217789,GSM4217795,0.8337172252733134
GSE142025 C1,GSM4217789,GSM4217796,0.7732644368918667
GSE142025 C1,GSM4217789,GSM4217797,0.6599094847733924
GSE142025 C1,GSM4217789,GSM4217798,0.7416066442701742
GSE142025 C1,GSM4217789,GSM4217799,0.780211264434553
GSE142025 C1,GSM4217789,GSM4217800,0.8126466266103518
GSE142025 C1,GSM4217789,GSM4217801,0.6725260294210201
GSE142025 C1,GSM4217789,GSM4217808,0.5795325294703398
GSE142025 C1,GSM4217789,GSM4217809,0.47529808915418736
GSE142025 C1,GSM4217789,GSM4217810,0.650871821064441
GSE142025 C1,GSM4217789,GSM4217811,0.5168430515977432
GSE142025 C1,GSM4217789,GSM4217812,0.6246624918439817
