gene_symbol,focused_pathways,analysis_family,primary_estimand,included_studies,complete_three_study_mapping,discovery_direction,pooled_direction,direction_matches_discovery,k,pooled_effect,tau2_reml,hk_scale,pooled_se_hk,pooled_se_modified_hk,ci_95_low_hk,ci_95_high_hk,ci_95_low_modified_hk,ci_95_high_modified_hk,p_value_hk,p_value_modified_hk,prediction_interval_95_low,prediction_interval_95_high,prediction_interval_95_low_modified_hk,prediction_interval_95_high_modified_hk,cochran_q,i2_percent,p_value_for_145_family,fdr_bh_145_family,fdr_lt_0_05,model,inference_df,prediction_interval_df,excluded_sample_ids,excluded_n,sensitivity_scope
MMP9,ECM_REMODELING,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.5681968951934694,0.7599268262143316,0.9838703749508545,0.5492708393961369,0.5537549242026315,-1.7951247812768099,2.931518571663749,-1.8144182410096632,2.950812031396602,0.4096140594537043,0.41274163677650455,-12.523666797520011,13.660060587906951,-12.55412854008494,13.69052233047188,12.640657868769017,84.17803866884687,0.41274163677650455,0.712470682530871,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
ENO1,HYPOXIA,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.7629279325490815,0.7651103449616684,0.9549963942036956,0.5447491157840026,0.5574368413007322,-1.5809383374785173,3.10679420257668,-1.6355292143067093,3.161385079404872,0.2963434997534784,0.30456758427031605,-12.33039493112384,13.856250796222001,-12.416329443845916,13.942185308944078,13.435849127262546,85.11445029594877,0.30456758427031605,0.5888306629226111,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
SMAD2,TGF_BETA_SIGNALING,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.06016479712965538,1.137846284772057,1.0327261989273326,0.6689889560331965,0.6689889560331965,-2.81826236068315,2.938591954942461,-2.81826236068315,2.938591954942461,0.9365353154023432,0.9365353154023432,-15.938518805125998,16.058848399385308,-15.938518805125998,16.058848399385308,13.534372720198139,85.22280979438904,0.9365353154023432,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
ARNT,HYPOXIA,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,UP,False,3.0,0.2948352491456956,0.9935434090639379,0.9712958755270025,0.6102861910919235,0.6192382448649717,-2.3310142968518304,2.9206847951432215,-2.3695318754548227,2.959202373746214,0.6767317275559337,0.6809261599659155,-14.555628952824042,15.145299451115433,-14.615339258828959,15.205009757120349,17.49144886343982,88.56584142563312,0.6809261599659155,0.9403266018576929,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
PDGFRB,FIBROSIS,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE30528,False,NOT_ESTIMABLE,DOWN,False,2.0,-0.23462089131028557,4.634238140895451,0.9999999860142419,1.560929510615334,1.5609295215307255,-20.068110832327477,19.598869049706906,-20.068110971020673,19.5988691884001,0.9050216813610719,0.9050216820154321,,,,,20.383340282797505,95.09403274376993,1.0,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,,,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
CFI,COMPLEMENT_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,DOWN,True,3.0,-0.1521765546465786,0.7970652590575482,1.042915608227077,0.5756723888782116,0.5756723888782116,-2.629094930064115,2.3247418207709574,-2.629094930064115,2.3247418207709574,0.8162616120275639,0.8162616120275639,-13.64987419369196,13.345521084398804,-13.64987419369196,13.345521084398804,10.469977733905917,80.8977626234752,0.8162616120275639,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
PROS1,COAGULATION_CASCADE,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.0375791109703192,1.0083941446761828,0.9936526607322698,0.6204794675618049,0.6224580886390185,-2.6321285638548897,2.707286785795528,-2.640641883233797,2.715800105174435,0.9572135556046071,0.9573493140068113,-14.961065833035768,15.036224054976408,-14.974296145953092,15.049454367893732,16.11945147607389,87.59262991691374,0.9573493140068113,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
CCL18,MACROPHAGE_RECRUITMENT,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE30528,False,NOT_ESTIMABLE,UP,False,2.0,1.2768005344691764,0.0,0.6604425433244067,0.2662295758492163,0.32759614283165683,-2.1059669631644438,4.659568032102796,-2.885703127215307,5.4393041961536595,0.13086841499318283,0.15989216752779264,,,,,0.6604425433244067,0.0,1.0,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,,,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
F10,COAGULATION_CASCADE,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.04762007736043695,1.0309227735680815,1.00344257279758,0.6299590472735253,0.6299590472735253,-2.6628749369877776,2.7581150917086514,-2.6628749369877776,2.7581150917086514,0.9466243404794322,0.9466243404794322,-15.134945085537696,15.23018524025857,-15.134945085537696,15.23018524025857,15.482996395403449,87.08260372266344,0.9466243404794322,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
SELP,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,UP,False,3.0,0.09709213829940871,0.3737544518040957,0.9892473456978104,0.4136829722087644,0.41592516564264176,-1.6828420313034445,1.877026307902262,-1.6924894110022237,1.8866736876010413,0.8362800765360033,0.8371391960946686,-9.282187664425035,9.476371941023853,-9.298183543580258,9.492367820179076,7.379406681565404,72.89755008358291,0.8371391960946686,1.0,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0,GSM2544293;GSM2544299;GSM2544304;GSM2544306;GSM2544308;GSM2544309;GSM4217781;GSM4217787,8,excludes samples with predefined robust-z median-correlation flag; potential biological and technical causes are not distinguishable
