dataset,sample_id,disease_group,genes_used,median_sample_correlation,robust_z_median_correlation,predefined_outlier_flag,outlier_rule
GSE96804,GSM2544308,DKD,1000,0.7069435345575166,-5.728161014809852,True,robust z of median Pearson correlation below -3
GSE96804,GSM2544309,DKD,1000,0.6760135382697108,-6.827487556407901,True,robust z of median Pearson correlation below -3
GSE96804,GSM2544310,DKD,1000,0.8195841888655317,-1.724640943499938,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544311,DKD,1000,0.7882449287175722,-2.8385137081171345,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544312,DKD,1000,0.8314267208912849,-1.30372884074718,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544313,DKD,1000,0.8710200724566461,0.10351420712167721,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544314,DKD,1000,0.8331691991379404,-1.2417969683059003,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544315,DKD,1000,0.8951347017632563,0.9606061961047542,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544316,Control,1000,0.8844860770292002,0.5821284331998652,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544317,Control,1000,0.8870847283859842,0.6744907594765952,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544318,Control,1000,0.8776272697010841,0.3383499060592724,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544319,Control,1000,0.8681076584278222,0.0,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544320,Control,1000,0.8130071118078659,-1.9584060984759912,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544321,Control,1000,0.8879717923599041,0.7060191489905009,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544322,Control,1000,0.8701092526226917,0.07114147714256519,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544323,Control,1000,0.8831539825410346,0.534782587661103,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544324,Control,1000,0.8665797693432631,-0.05430485693061704,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544325,Control,1000,0.8907235648517795,0.8038237690948586,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544326,Control,1000,0.80977551981185,-2.073264659071314,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544327,Control,1000,0.8773938523884968,0.3300536927455684,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544328,Control,1000,0.8615267726006299,-0.23390052781581322,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544329,Control,1000,0.8703051586297286,0.07810444833694132,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544330,Control,1000,0.877116175577416,0.3201843902869774,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544331,Control,1000,0.8734662519375426,0.19045731580618036,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544332,Control,1000,0.8647563886112181,-0.11911219850038778,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544333,Control,1000,0.8766372635759818,0.30316270462728834,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544334,Control,1000,0.8483371006653924,-0.7026932266075072,False,robust z of median Pearson correlation below -3
GSE96804,GSM2544335,Control,1000,0.8732485161317586,0.18271846100234226,False,robust z of median Pearson correlation below -3
GSE30528,GSM756992,DKD,1000,-0.14124817682333612,-2.2492466922997525,False,robust z of median Pearson correlation below -3
GSE30528,GSM756993,DKD,1000,0.06559121189314956,1.7698740144309817,False,robust z of median Pearson correlation below -3
GSE30528,GSM756994,DKD,1000,-0.01807084039639702,0.14422674864158014,False,robust z of median Pearson correlation below -3
GSE30528,GSM756995,DKD,1000,-0.06068910855211916,-0.6838938771858823,False,robust z of median Pearson correlation below -3
GSE30528,GSM756996,DKD,1000,-0.028803134910331648,-0.06431373960561505,False,robust z of median Pearson correlation below -3
GSE30528,GSM756997,DKD,1000,-0.03173553829113854,-0.12129361767150312,False,robust z of median Pearson correlation below -3
GSE30528,GSM756998,DKD,1000,-0.11480640133677245,-1.7354534151090095,False,robust z of median Pearson correlation below -3
GSE30528,GSM756999,DKD,1000,-0.05972126744410716,-0.6650876417673081,False,robust z of median Pearson correlation below -3
GSE30528,GSM757000,DKD,1000,0.10980622748219811,2.629021229113325,False,robust z of median Pearson correlation below -3
GSE30528,GSM757001,Control,1000,-0.028616440398258756,-0.06068605638743627,False,robust z of median Pearson correlation below -3
GSE30528,GSM757002,Control,1000,0.04308113129376987,1.332477967147392,False,robust z of median Pearson correlation below -3
GSE30528,GSM757003,Control,1000,-0.014262392223808013,0.21822915701237672,False,robust z of median Pearson correlation below -3
GSE30528,GSM757004,Control,1000,0.03485216870076146,1.1725800185134108,False,robust z of median Pearson correlation below -3
GSE30528,GSM757005,Control,1000,-0.027639485825359588,-0.0417027361511907,False,robust z of median Pearson correlation below -3
GSE30528,GSM757006,Control,1000,-0.023347119866371696,0.04170273615119077,False,robust z of median Pearson correlation below -3
GSE30528,GSM757007,Control,1000,-0.12095003723663769,-1.854831133313389,False,robust z of median Pearson correlation below -3
GSE30528,GSM757008,Control,1000,-0.017546203894720853,0.15442102276160127,False,robust z of median Pearson correlation below -3
GSE30528,GSM757009,Control,1000,0.06461569021435966,1.7509185369302072,False,robust z of median Pearson correlation below -3
GSE30528,GSM757010,Control,1000,0.015366517112349936,0.7939520102355878,False,robust z of median Pearson correlation below -3
GSE30528,GSM757011,Control,1000,-0.054775565222886034,-0.5689871150253735,False,robust z of median Pearson correlation below -3
GSE30528,GSM757012,Control,1000,-0.07495360863115157,-0.9610690709174036,False,robust z of median Pearson correlation below -3
GSE30528,GSM757013,Control,1000,-0.014262392223808013,0.21822915701237672,False,robust z of median Pearson correlation below -3
