gene_symbol,focused_pathways,analysis_family,primary_estimand,included_studies,complete_three_study_mapping,discovery_direction,pooled_direction,direction_matches_discovery,k,pooled_effect,tau2_reml,hk_scale,pooled_se_hk,pooled_se_modified_hk,ci_95_low_hk,ci_95_high_hk,ci_95_low_modified_hk,ci_95_high_modified_hk,p_value_hk,p_value_modified_hk,prediction_interval_95_low,prediction_interval_95_high,prediction_interval_95_low_modified_hk,prediction_interval_95_high_modified_hk,cochran_q,i2_percent,p_value_for_145_family,fdr_bh_145_family,fdr_lt_0_05,model,inference_df,prediction_interval_df
TGFB1,TGF_BETA_SIGNALING,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.7191764823424499,0.07360391425336182,1.0644251350658287,0.27455869753695245,0.27455869753695245,-0.462154247076736,1.900507211761636,-0.462154247076736,1.900507211761636,0.12005845565276367,0.12005845565276367,-4.185260417723687,5.623613382408586,-4.185260417723687,5.623613382408586,3.1114321843481862,35.72091945115044,0.12005845565276367,0.38381123608567475,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
LOXL2,FIBROSIS,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.9410144019202138,0.2027048609336978,1.0870061465820928,0.3573886545129044,0.3573886545129044,-0.5967048679821658,2.478733671822593,-0.5967048679821658,2.478733671822593,0.11903066185952683,0.11903066185952683,-6.362915176546138,8.244943980386566,-6.362915176546138,8.244943980386566,4.581966786914306,56.350622057937564,0.11903066185952683,0.38381123608567475,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
VCAM1,ENDOTHELIAL_ACTIVATION;LEUKOCYTE_ADHESION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.9667407143654738,0.04625391902467089,0.8513163484514219,0.2317468989819108,0.25117039279432557,-0.030385713137660808,1.9638671418686084,-0.11395826180988333,2.047439690540831,0.05294332195346701,0.061355174666471744,-3.050521268212738,4.984002696943686,-3.234778435641778,5.168259864372726,2.3272774353938814,14.062673852999016,0.061355174666471744,0.38381123608567475,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
EDN1,ENDOTHELIAL_ACTIVATION,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,1.6183416989877528,0.3523399715291072,1.1187693285304132,0.45327814235308134,0.45327814235308134,-0.3319567375193291,3.5686401354948347,-0.3319567375193291,3.5686401354948347,0.07027962221650111,0.07027962221650111,-7.8714244613158675,11.108107859291373,-7.8714244613158675,11.108107859291373,5.266104654270648,62.02126369862282,0.07027962221650111,0.38381123608567475,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
PDK1,HYPOXIA,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.8491040098063555,0.0,0.1268936263633928,0.07430501127307262,0.20859226503644945,0.5293953502221669,1.168812669390544,-0.04839606874622482,1.7466040883589358,0.007571124323409029,0.0553836525504336,-0.0950306763722002,1.7932386959849111,-1.8013120161828775,3.4995200357955882,0.2537872527267856,0.0,0.0553836525504336,0.38381123608567475,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
F5,COAGULATION_CASCADE,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,DOWN,True,3.0,-1.4947477374663625,0.9802185156034627,0.9923116114767165,0.6274469830415709,0.629873009305097,-4.194434211789787,1.2049387368570614,-4.204872560314861,1.2153770853821366,0.1401042371942115,0.14097097138317685,-16.388177161584082,13.398681686651358,-16.404700867605737,13.415205392673013,12.771794035558612,84.34049285142167,0.14097097138317685,0.38824154143590667,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
LDHA,HYPOXIA,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.8700468851503493,0.0,0.5636853483223426,0.15714998231930657,0.20931288477652024,0.19388508475248445,1.5462086855482142,-0.030553769893919447,1.7706475401946182,0.03111005727921436,0.053292663791501826,-1.1267329645254438,2.8668267348261427,-1.7895254827933376,3.5296192530940362,1.1273706966446853,0.0,0.053292663791501826,0.38381123608567475,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
F8,COAGULATION_CASCADE,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,DOWN,True,3.0,-0.6548638358365666,0.26830998049002086,0.9487667359856524,0.36271797914640724,0.3723825814527399,-2.215513338920724,0.9057856672475908,-2.2570967664154935,0.9473690947423605,0.2127626174192712,0.22072273876953516,-8.689710669092342,7.379982997419209,-8.760772856405413,7.45104518473228,5.904172360734352,66.12565017069991,0.22072273876953516,0.48057710728268455,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
PLAT,COAGULATION_CASCADE,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,DOWN,DOWN,True,3.0,-1.054756481187377,0.031187109313006476,0.8850064615509301,0.22761901999646855,0.24195540512054545,-2.034122078905943,-0.07539088346881095,-2.095806565494028,-0.01370639688072628,0.043550968156398105,0.04880191045330741,-4.71532404017505,2.605811077800296,-4.8608857914605,2.7513728290857458,2.1697563060049636,7.823749862376263,0.04880191045330741,0.38381123608567475,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
CXCL1,MACROPHAGE_RECRUITMENT,analysis_defined_145_gene_focused_universe,three-study synthesis with GSE30122 represented by glomerular GSE30528,GSE142025_C1;GSE96804;GSE30528,True,UP,UP,True,3.0,0.553706976423269,0.20346103623217068,0.9261106887042991,0.32706920466883393,0.33986638062330804,-0.8535582298446355,1.9609721826911737,-0.9086200338975553,2.0160339867440933,0.2325449211613611,0.24482703198081066,-6.525773677388699,7.633187630235238,-6.622432967463183,7.729846920309722,4.985338378265239,59.88236207356611,0.24482703198081066,0.4861768554710769,False,REML random effects with modified Hartung-Knapp primary t inference,2.0,1.0
