gene_symbol,mapping_status,n_samples,n_dkd,n_control,n_male,n_female,unadjusted_mean_difference,unadjusted_welch_p,sex_adjusted_disease_beta,sex_adjusted_disease_se,sex_adjusted_disease_p,direction_changed_after_sex_adjustment,sex_adjusted_fdr_bh_145
TGFB1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.2640785000000001,0.04205997484640054,0.26269960784313806,0.1457929626629499,0.07676398800136137,False,0.12942765418834185
LOXL2,MAPPED,61.0,41.0,20.0,43.0,18.0,0.19573217073170834,1.1277768408243129e-06,0.19574287773933155,0.04763478518656664,0.00012632741244817294,False,0.0007045182617301952
VCAM1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.8612474390243907,0.005420353411324728,0.8629273587081909,0.351270495972094,0.01704035600749679,False,0.03208898209203941
EDN1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.5722381219512194,2.695216055191235e-06,0.5724379411764714,0.13736746881633907,0.00010397570678631758,False,0.000628186561834002
PDK1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.14108358536585452,0.005212834095605344,0.1408951211072672,0.04686565592487856,0.003903162951948548,False,0.00884310356300843
F5,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.401186719512193,0.0478676977588429,-0.4003369261822372,0.232464260296649,0.09037279501285182,False,0.14723657614453386
LDHA,MAPPED,61.0,41.0,20.0,43.0,18.0,0.2195915487804907,0.0006730159751241463,0.219448846597464,0.06909982039420712,0.0023936044106953854,False,0.005882587111031032
F8,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.0885099268292695,0.6359505287183269,-0.089230761245674,0.21264672856174616,0.6763135514377214,False,0.778297340940235
PLAT,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.5186780487804885,0.0023284056664313792,-0.519313656286043,0.182592263671646,0.006142034384284819,False,0.01329246247345222
CXCL1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.04496445121951265,0.7980671498115581,0.043675830449827854,0.21697311869729757,0.8411713909195454,False,0.9203774023110917
CTGF,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.41113792682926764,0.015566759527220054,-0.41204054209919194,0.16234461678211243,0.013855046571413735,False,0.027148402065607993
C6,MAPPED,61.0,41.0,20.0,43.0,18.0,0.03559948780487776,0.4409726630930647,0.03549603806228446,0.0579984275272639,0.5429182056476534,False,0.6572344805301621
ACTA2,MAPPED,61.0,41.0,20.0,43.0,18.0,0.8158646219512189,2.518080321625725e-05,0.817330132641293,0.23074623418853818,0.0007909849731821952,False,0.002493322198074311
COL3A1,NOT_MAPPED,,,,,,,,,,,,1.0
C1R,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.08853435365853457,0.4434464729004338,-0.0881058592848905,0.1316648094454613,0.5060434196499697,False,0.6218330156715729
ACKR1,NOT_MAPPED,,,,,,,,,,,,1.0
DCN,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.5339970731707346,2.0651610603294906e-07,-0.5337933679354092,0.11931961216870252,3.641748959618246e-05,False,0.00029336311063591427
SELL,MAPPED,61.0,41.0,20.0,43.0,18.0,-1.088595402439025,3.767160622151122e-05,-1.087384780853518,0.20442297702922868,1.7481128956531326e-06,False,2.8164041096633803e-05
CFP,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.11592799999999936,0.06550856775047452,-0.11556400230680458,0.04984562302079492,0.023971648288211602,False,0.04399859495937573
F7,MAPPED,61.0,41.0,20.0,43.0,18.0,0.017673085365853325,0.5510818131224452,0.01777724913494808,0.02911935281654497,0.5439181907835824,False,0.6572344805301621
CCL5,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.23386697560975644,0.27125208976745213,-0.23412970011533962,0.17540404159296022,0.18715726652300937,False,0.2713780364583636
TIMP2,NOT_MAPPED,,,,,,,,,,,,1.0
SERPING1,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.3391376829268289,0.002663141849161678,-0.3389020761245662,0.11590427796476803,0.004922590540739556,False,0.01098116351395747
JAM3,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.06824471951219557,0.43859079626124264,-0.06759558823529316,0.0865298626303489,0.4378723959496028,False,0.5569429597604597
MMP9,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.006050975609755316,0.9312158348272375,-0.0057894348327562906,0.06706837737107375,0.9315082573867103,False,0.9859029001538174
ENO1,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.030493256097560817,0.7643312974104468,-0.031035928489042217,0.1182290686550022,0.7938609566841239,False,0.8787010589251754
SMAD2,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.026168853658537827,0.6568774042319374,-0.025836424452132994,0.05632538267860936,0.6481642782213128,False,0.7629037392395814
ARNT,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.2682293902439046,0.00019344243548357934,-0.2676853344867359,0.07683002268224427,0.0009466625861476695,False,0.0027664644214364553
PDGFRB,NOT_MAPPED,,,,,,,,,,,,1.0
CFI,MAPPED,61.0,41.0,20.0,43.0,18.0,0.0927560975609758,0.7159963698800222,0.0940414705882362,0.276405889326753,0.7349127846951804,False,0.839073651817332
PROS1,MAPPED,61.0,41.0,20.0,43.0,18.0,0.46843979268292735,8.473857638881003e-06,0.46721878892733715,0.11648446820932196,0.00017522415596598682,False,0.000827826384002246
CCL18,NOT_MAPPED,,,,,,,,,,,,1.0
F10,MAPPED,61.0,41.0,20.0,43.0,18.0,0.15408446341463433,0.0002438597581522731,0.15437826412918135,0.04434072116457027,0.0009539532487711916,False,0.0027664644214364553
SELP,MAPPED,61.0,41.0,20.0,43.0,18.0,-0.2999483536585359,0.13826057056028096,-0.3032217993079583,0.17900765691823392,0.09564782993170115,False,0.1540992815566296
