source_feature_id,raw_annotation,candidate_gene_symbols,selected_gene_symbol,mapping_status,mean_expression,variance_expression,missing_fraction,finite_values,eligible_before_duplicate_collapse,selected_for_clean_matrix
ABHD8,ABHD8,ABHD8,ABHD8,unique_gene_symbol,9.71015,0.0546649,0,True,True,True
ABI1,ABI1,ABI1,ABI1,unique_gene_symbol,11.2454,0.0190232,0,True,True,True
ABI2,ABI2,ABI2,ABI2,unique_gene_symbol,12.3171,0.0137112,0,True,True,True
ABI3,ABI3,ABI3,ABI3,unique_gene_symbol,9.49753,0.156047,0,True,True,True
ABI3BP,ABI3BP,ABI3BP,ABI3BP,unique_gene_symbol,11.0613,0.163426,0,True,True,True
ABL1,ABL1,ABL1,ABL1,unique_gene_symbol,12.7803,0.0374945,0,True,True,True
ABL2,ABL2,ABL2,ABL2,unique_gene_symbol,11.8694,0.0555996,0,True,True,True
ABLIM1,ABLIM1,ABLIM1,ABLIM1,unique_gene_symbol,14.0164,0.0347606,0,True,True,True
ABLIM2,ABLIM2,ABLIM2,ABLIM2,unique_gene_symbol,9.68356,0.129155,0,True,True,True
ABLIM3,ABLIM3,ABLIM3,ABLIM3,unique_gene_symbol,11.4923,0.185668,0,True,True,True
ABO,ABO,ABO,ABO,unique_gene_symbol,10.0222,0.751262,0,True,True,True
ABR,ABR,ABR,ABR,unique_gene_symbol,12.5329,0.209946,0,True,True,True
ABRA,ABRA,ABRA,ABRA,unique_gene_symbol,6.14863,0.651651,0,True,True,True
ABRACL,ABRACL,ABRACL,ABRACL,unique_gene_symbol,8.86425,0.163049,0,True,True,True
ABT1,ABT1,ABT1,ABT1,unique_gene_symbol,9.59331,0.0879683,0,True,True,True
ABTB1,ABTB1,ABTB1,ABTB1,unique_gene_symbol,10.7793,0.0447491,0,True,True,True
ABTB2,ABTB2,ABTB2,ABTB2,unique_gene_symbol,11.1329,0.157516,0,True,True,True
ACAA1,ACAA1,ACAA1,ACAA1,unique_gene_symbol,13.7142,0.344707,0,True,True,True
ACAA2,ACAA2,ACAA2,ACAA2,unique_gene_symbol,13.5045,0.176885,0,True,True,True
ACACA,ACACA,ACACA,ACACA,unique_gene_symbol,12.0604,0.0933282,0,True,True,True
ACACB,ACACB,ACACB,ACACB,unique_gene_symbol,13.3972,0.112877,0,True,True,True
ACAD10,ACAD10,ACAD10,ACAD10,unique_gene_symbol,12.3397,0.0580499,0,True,True,True
ACAD8,ACAD8,ACAD8,ACAD8,unique_gene_symbol,11.2837,0.0906953,0,True,True,True
ACAD9,ACAD9,ACAD9,ACAD9,unique_gene_symbol,11.472,0.00804078,0,True,True,True
ACADL,ACADL,ACADL,ACADL,unique_gene_symbol,10.208,0.197662,0,True,True,True
ACADM,ACADM,ACADM,ACADM,unique_gene_symbol,12.0222,0.417942,0,True,True,True
ACADS,ACADS,ACADS,ACADS,unique_gene_symbol,11.59,0.148319,0,True,True,True
ACADSB,ACADSB,ACADSB,ACADSB,unique_gene_symbol,13.2431,0.527441,0,True,True,True
ACADVL,ACADVL,ACADVL,ACADVL,unique_gene_symbol,14.3719,0.0494371,0,True,True,True
ACAN,ACAN,ACAN,ACAN,unique_gene_symbol,8.84366,0.568347,0,True,True,True
ACAP1,ACAP1,ACAP1,ACAP1,unique_gene_symbol,10.1953,0.404174,0,True,True,True
ACAP2,ACAP2,ACAP2,ACAP2,unique_gene_symbol,11.0682,0.0265464,0,True,True,True
ACAP3,ACAP3,ACAP3,ACAP3,unique_gene_symbol,11.4362,0.117678,0,True,True,True
ACAT1,ACAT1,ACAT1,ACAT1,unique_gene_symbol,13.355,0.283118,0,True,True,True
ACAT2,ACAT2,ACAT2,ACAT2,unique_gene_symbol,9.11383,0.0980269,0,True,True,True
ACBD3,ACBD3,ACBD3,ACBD3,unique_gene_symbol,10.8535,0.0174351,0,True,True,True
ACBD4,ACBD4,ACBD4,ACBD4,unique_gene_symbol,11.2017,0.15697,0,True,True,True
ACBD5,ACBD5,ACBD5,ACBD5,unique_gene_symbol,11.3718,0.0814187,0,True,True,True
ACBD6,ACBD6,ACBD6,ACBD6,unique_gene_symbol,10.1268,0.014882,0,True,True,True
ACCS,ACCS,ACCS,ACCS,unique_gene_symbol,10.8319,0.195407,0,True,True,True
ACD,ACD,ACD,ACD,unique_gene_symbol,9.49528,0.0244535,0,True,True,True
ACE,ACE,ACE,ACE,unique_gene_symbol,11.7392,1.26053,0,True,True,True
ACE2,ACE2,ACE2,ACE2,unique_gene_symbol,12.6812,0.371087,0,True,True,True
ACER2,ACER2,ACER2,ACER2,unique_gene_symbol,8.54193,0.0894751,0,True,True,True
ACER3,ACER3,ACER3,ACER3,unique_gene_symbol,10.4082,0.0225611,0,True,True,True
ACHE,ACHE,ACHE,ACHE,unique_gene_symbol,7.6468,0.277021,0,True,True,True
ACIN1,ACIN1,ACIN1,ACIN1,unique_gene_symbol,13.06,0.0576696,0,True,True,True
ACKR1,ACKR1,ACKR1,ACKR1,unique_gene_symbol,8.48103,3.42971,0,True,True,True
ACKR2,ACKR2,ACKR2,ACKR2,unique_gene_symbol,7.78278,0.322107,0,True,True,True
ACKR3,ACKR3,ACKR3,ACKR3,unique_gene_symbol,8.82768,0.0858044,0,True,True,True
ACKR4,ACKR4,ACKR4,ACKR4,unique_gene_symbol,7.58071,0.295215,0,True,True,True
ACLY,ACLY,ACLY,ACLY,unique_gene_symbol,13.6322,0.0558006,0,True,True,True
ACMSD,ACMSD,ACMSD,ACMSD,unique_gene_symbol,11.7758,0.370711,0,True,True,True
ACO1,ACO1,ACO1,ACO1,unique_gene_symbol,13.4862,0.294825,0,True,True,True
ACO2,ACO2,ACO2,ACO2,unique_gene_symbol,13.7025,0.17933,0,True,True,True
ACOT1,ACOT1,ACOT1,ACOT1,unique_gene_symbol,9.18957,0.472736,0,True,True,True
ACOT11,ACOT11,ACOT11,ACOT11,unique_gene_symbol,11.6491,0.18705,0,True,True,True
ACOT12,ACOT12,ACOT12,ACOT12,unique_gene_symbol,7.56713,1.09668,0,True,True,True
ACOT13,ACOT13,ACOT13,ACOT13,unique_gene_symbol,11.1628,0.163859,0,True,True,True
ACOT2,ACOT2,ACOT2,ACOT2,unique_gene_symbol,11.2849,0.256897,0,True,True,True
ACOT4,ACOT4,ACOT4,ACOT4,unique_gene_symbol,9.26827,0.462339,0,True,True,True
ACOT6,ACOT6,ACOT6,ACOT6,unique_gene_symbol,6.94249,0.560328,0,True,True,True
ACOT7,ACOT7,ACOT7,ACOT7,unique_gene_symbol,11.6456,0.360099,0,True,True,True
ACOT8,ACOT8,ACOT8,ACOT8,unique_gene_symbol,9.8376,0.0674902,0,True,True,True
ACOT9,ACOT9,ACOT9,ACOT9,unique_gene_symbol,10.5146,0.0345725,0,True,True,True
ACOX1,ACOX1,ACOX1,ACOX1,unique_gene_symbol,13.5266,0.145069,0,True,True,True
ACOX2,ACOX2,ACOX2,ACOX2,unique_gene_symbol,12.1902,0.510162,0,True,True,True
ACOX3,ACOX3,ACOX3,ACOX3,unique_gene_symbol,10.7763,0.0319658,0,True,True,True
ACOXL,ACOXL,ACOXL,ACOXL,unique_gene_symbol,5.49019,0.484192,0,True,True,True
ACP1,ACP1,ACP1,ACP1,unique_gene_symbol,11.0526,0.0870411,0,True,True,True
ACP2,ACP2,ACP2,ACP2,unique_gene_symbol,11.3298,0.0345307,0,True,True,True
ACP5,ACP5,ACP5,ACP5,unique_gene_symbol,12.5307,0.376395,0,True,True,True
ACP6,ACP6,ACP6,ACP6,unique_gene_symbol,10.7446,0.0634345,0,True,True,True
ACPP,ACPP,ACPP,ACPP,unique_gene_symbol,10.5529,0.440886,0,True,True,True
ACPT,ACPT,ACPT,ACPT,unique_gene_symbol,5.96977,0.166068,0,True,True,True
ACRBP,ACRBP,ACRBP,ACRBP,unique_gene_symbol,7.4123,0.101264,0,True,True,True
ACSBG1,ACSBG1,ACSBG1,ACSBG1,unique_gene_symbol,6.01038,0.129793,0,True,True,True
ACSBG2,ACSBG2,ACSBG2,ACSBG2,unique_gene_symbol,7.34897,0.312312,0,True,True,True
ACSF2,ACSF2,ACSF2,ACSF2,unique_gene_symbol,13.9029,0.500548,0,True,True,True
ACSF3,ACSF3,ACSF3,ACSF3,unique_gene_symbol,11.2466,0.0335812,0,True,True,True
ACSL1,ACSL1,ACSL1,ACSL1,unique_gene_symbol,13.8876,0.109822,0,True,True,True
ACSL3,ACSL3,ACSL3,ACSL3,unique_gene_symbol,10.9318,0.0833995,0,True,True,True
ACSL4,ACSL4,ACSL4,ACSL4,unique_gene_symbol,12.1885,0.147224,0,True,True,True
ACSL5,ACSL5,ACSL5,ACSL5,unique_gene_symbol,9.8073,0.177218,0,True,True,True
ACSL6,ACSL6,ACSL6,ACSL6,unique_gene_symbol,8.57938,0.468685,0,True,True,True
ACSM1,ACSM1,ACSM1,ACSM1,unique_gene_symbol,7.81387,0.6069,0,True,True,True
ACSM2A,ACSM2A,ACSM2A,ACSM2A,unique_gene_symbol,14.4131,0.350647,0,True,True,True
ACSM2B,ACSM2B,ACSM2B,ACSM2B,unique_gene_symbol,14.4303,0.445925,0,True,True,True
ACSM3,ACSM3,ACSM3,ACSM3,unique_gene_symbol,11.5925,0.317938,0,True,True,True
ACSM5,ACSM5,ACSM5,ACSM5,unique_gene_symbol,10.9711,0.608184,0,True,True,True
ACSM6,ACSM6,ACSM6,ACSM6,unique_gene_symbol,7.12447,0.127006,0,True,True,True
ACSS1,ACSS1,ACSS1,ACSS1,unique_gene_symbol,12.2738,0.0563112,0,True,True,True
ACSS2,ACSS2,ACSS2,ACSS2,unique_gene_symbol,12.8152,0.134787,0,True,True,True
ACSS3,ACSS3,ACSS3,ACSS3,unique_gene_symbol,11.8386,0.130749,0,True,True,True
ACTA1,ACTA1,ACTA1,ACTA1,unique_gene_symbol,4.31031,7.0701,0,True,True,True
ACTA2,ACTA2,ACTA2,ACTA2,unique_gene_symbol,11.4921,0.214731,0,True,True,True
ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,ACTA2-AS1,unique_gene_symbol,7.07521,0.335256,0,True,True,True
ACTB,ACTB,ACTB,ACTB,unique_gene_symbol,16.4379,0.174597,0,True,True,True
ACTC1,ACTC1,ACTC1,ACTC1,unique_gene_symbol,4.92349,1.11162,0,True,True,True
ACTG1,ACTG1,ACTG1,ACTG1,unique_gene_symbol,15.457,0.238833,0,True,True,True
ACTG1P20,ACTG1P20,ACTG1P20,ACTG1P20,unique_gene_symbol,7.95049,0.0446802,0,True,True,True
ACTG1P4,ACTG1P4,ACTG1P4,ACTG1P4,unique_gene_symbol,7.22743,0.194846,0,True,True,True
ACTG2,ACTG2,ACTG2,ACTG2,unique_gene_symbol,4.18072,2.89445,0,True,True,True
ACTL10,ACTL10,ACTL10,ACTL10,unique_gene_symbol,8.23703,0.101627,0,True,True,True
ACTL6A,ACTL6A,ACTL6A,ACTL6A,unique_gene_symbol,9.50165,0.0369449,0,True,True,True
ACTN1,ACTN1,ACTN1,ACTN1,unique_gene_symbol,12.2643,0.466448,0,True,True,True
ACTN2,ACTN2,ACTN2,ACTN2,unique_gene_symbol,5.74538,1.98143,0,True,True,True
ACTN3,ACTN3,ACTN3,ACTN3,unique_gene_symbol,4.60516,1.62627,0,True,True,True
ACTN4,ACTN4,ACTN4,ACTN4,unique_gene_symbol,14.8695,0.115074,0,True,True,True
ACTR10,ACTR10,ACTR10,ACTR10,unique_gene_symbol,10.5655,0.0370833,0,True,True,True
ACTR1A,ACTR1A,ACTR1A,ACTR1A,unique_gene_symbol,12.0742,0.0268126,0,True,True,True
ACTR1B,ACTR1B,ACTR1B,ACTR1B,unique_gene_symbol,11.8432,0.027536,0,True,True,True
ACTR2,ACTR2,ACTR2,ACTR2,unique_gene_symbol,12.5748,0.0460695,0,True,True,True
ACTR3,ACTR3,ACTR3,ACTR3,unique_gene_symbol,11.9558,0.0965646,0,True,True,True
ACTR3B,ACTR3B,ACTR3B,ACTR3B,unique_gene_symbol,9.22838,0.019866,0,True,True,True
ACTR3C,ACTR3C,ACTR3C,ACTR3C,unique_gene_symbol,9.57578,0.0583593,0,True,True,True
ACTR5,ACTR5,ACTR5,ACTR5,unique_gene_symbol,9.19824,0.0273779,0,True,True,True
ACTR6,ACTR6,ACTR6,ACTR6,unique_gene_symbol,8.23257,0.268583,0,True,True,True
ACTR8,ACTR8,ACTR8,ACTR8,unique_gene_symbol,11.0017,0.0317168,0,True,True,True
ACTRT3,ACTRT3,ACTRT3,ACTRT3,unique_gene_symbol,6.83529,0.195612,0,True,True,True
ACVR1,ACVR1,ACVR1,ACVR1,unique_gene_symbol,11.7164,0.0608704,0,True,True,True
ACVR1B,ACVR1B,ACVR1B,ACVR1B,unique_gene_symbol,12.7467,0.0351742,0,True,True,True
ACVR1C,ACVR1C,ACVR1C,ACVR1C,unique_gene_symbol,6.63315,0.509772,0,True,True,True
ACVR2A,ACVR2A,ACVR2A,ACVR2A,unique_gene_symbol,10.2987,0.0411212,0,True,True,True
ACVR2B,ACVR2B,ACVR2B,ACVR2B,unique_gene_symbol,11.2358,0.040351,0,True,True,True
ACVR2B-AS1,ACVR2B-AS1,ACVR2B-AS1,ACVR2B-AS1,unique_gene_symbol,8.41237,0.257995,0,True,True,True
ACVRL1,ACVRL1,ACVRL1,ACVRL1,unique_gene_symbol,11.1998,0.109427,0,True,True,True
ACY1,ACY1,ACY1,ACY1,unique_gene_symbol,7.05747,0.674774,0,True,True,True
ACY3,ACY3,ACY3,ACY3,unique_gene_symbol,11.5167,0.621606,0,True,True,True
ACYP1,ACYP1,ACYP1,ACYP1,unique_gene_symbol,8.17833,0.0396768,0,True,True,True
ACYP2,ACYP2,ACYP2,ACYP2,unique_gene_symbol,9.3871,0.0252386,0,True,True,True
ADA,ADA,ADA,ADA,unique_gene_symbol,8.21202,0.272368,0,True,True,True
ADAL,ADAL,ADAL,ADAL,unique_gene_symbol,9.39183,0.217101,0,True,True,True
ADAM10,ADAM10,ADAM10,ADAM10,unique_gene_symbol,12.11,0.0905196,0,True,True,True
ADAM11,ADAM11,ADAM11,ADAM11,unique_gene_symbol,6.02138,0.395223,0,True,True,True
ADAM12,ADAM12,ADAM12,ADAM12,unique_gene_symbol,9.71684,0.88279,0,True,True,True
ADAM15,ADAM15,ADAM15,ADAM15,unique_gene_symbol,11.5405,0.184736,0,True,True,True
ADAM17,ADAM17,ADAM17,ADAM17,unique_gene_symbol,10.7977,0.0442784,0,True,True,True
ADAM19,ADAM19,ADAM19,ADAM19,unique_gene_symbol,10.0275,1.10664,0,True,True,True
ADAM1A,ADAM1A,ADAM1A,ADAM1A,unique_gene_symbol,9.18861,0.0528831,0,True,True,True
ADAM20,ADAM20,ADAM20,ADAM20,unique_gene_symbol,7.36013,0.219094,0,True,True,True
ADAM20P1,ADAM20P1,ADAM20P1,ADAM20P1,unique_gene_symbol,6.67276,0.306559,0,True,True,True
ADAM21,ADAM21,ADAM21,ADAM21,unique_gene_symbol,5.9927,0.438651,0,True,True,True
ADAM22,ADAM22,ADAM22,ADAM22,unique_gene_symbol,10.5707,0.0438355,0,True,True,True
ADAM23,ADAM23,ADAM23,ADAM23,unique_gene_symbol,6.99227,0.386816,0,True,True,True
ADAM28,ADAM28,ADAM28,ADAM28,unique_gene_symbol,10.0517,0.182525,0,True,True,True
ADAM32,ADAM32,ADAM32,ADAM32,unique_gene_symbol,6.05454,0.30767,0,True,True,True
ADAM33,ADAM33,ADAM33,ADAM33,unique_gene_symbol,8.20097,0.607521,0,True,True,True
ADAM8,ADAM8,ADAM8,ADAM8,unique_gene_symbol,9.73707,0.356716,0,True,True,True
ADAM9,ADAM9,ADAM9,ADAM9,unique_gene_symbol,12.1916,0.0628039,0,True,True,True
ADAMDEC1,ADAMDEC1,ADAMDEC1,ADAMDEC1,unique_gene_symbol,3.3625,4.1721,0,True,True,True
ADAMTS1,ADAMTS1,ADAMTS1,ADAMTS1,unique_gene_symbol,12.4816,0.702848,0,True,True,True
ADAMTS10,ADAMTS10,ADAMTS10,ADAMTS10,unique_gene_symbol,10.4403,0.496372,0,True,True,True
ADAMTS12,ADAMTS12,ADAMTS12,ADAMTS12,unique_gene_symbol,9.40065,0.468198,0,True,True,True
ADAMTS13,ADAMTS13,ADAMTS13,ADAMTS13,unique_gene_symbol,9.4121,0.226858,0,True,True,True
ADAMTS14,ADAMTS14,ADAMTS14,ADAMTS14,unique_gene_symbol,5.76879,0.752873,0,True,True,True
ADAMTS15,ADAMTS15,ADAMTS15,ADAMTS15,unique_gene_symbol,11.034,0.246124,0,True,True,True
