gene_symbol,compartment_model,eligible_cohorts,contributing_cohorts,k,pooled_effect,tau2_reml,hk_scale,pooled_se_hk,pooled_se_modified_hk,ci_95_low_hk,ci_95_high_hk,ci_95_low_modified_hk,ci_95_high_modified_hk,p_value_hk,p_value_modified_hk,prediction_interval_95_low,prediction_interval_95_high,prediction_interval_95_low_modified_hk,prediction_interval_95_high_modified_hk,cochran_q,i2_percent,p_value_for_family,fdr_bh_canonical_union,fdr_lt_0_05
SKI,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,0.44094709097356577,0.2505658916292387,1.2873290286329409,0.4601189308342182,0.4601189308342182,-1.0233567004508817,1.9052508823980132,-1.0233567004508817,1.9052508823980132,0.4085928010473476,0.4085928010473476,-2.484462293421629,3.366356475368761,-2.484462293421629,3.366356475368761,5.437883717916362,44.83147938386751,0.4085928010473476,0.6542498225359369,False
SKIL,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-0.0354921251216386,0.0,0.15084915633584564,0.10882079763397738,0.2801821490376804,-0.38180847048991595,0.3108242202466388,-0.9271567701330538,0.8561725198897766,0.7657365541478841,0.9072108805228595,-0.5037102271149851,0.432725976871708,-1.2410186135056849,1.1700343632624075,0.45254746900753695,0.0,0.9072108805228595,0.9879640047974951,False
SLC16A1,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-1.2592584306133634,0.0,0.48386890231133584,0.21484664519120925,0.30886217179464914,-1.942996342804727,-0.5755205184219998,-2.2421957080831465,-0.2763211531435804,0.009903189703663039,0.02664036413910536,-2.183668935022834,-0.3348479262038928,-2.5881850972019578,0.06966823597523097,1.4516067069340075,0.0,0.02664036413910536,0.4380293061545702,False
SLC16A3,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,0.5932461300380548,0.0,0.6577474586214099,0.23432540543051,0.28892810404856134,-0.1524818907083786,1.3389741507844883,-0.32625204718391587,1.5127443072600255,0.08529553734278532,0.13234833910060217,-0.41497471528717844,1.6014669753632882,-0.6499111655478241,1.8364034256239337,1.9732423758642297,0.0,0.13234833910060217,0.48096740403921834,False
SLC16A8,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE111154;GSE199838,3.0,-0.8889825250977251,0.22157608882281607,0.8315969952357648,0.42839202849147345,0.4697696174495805,-2.732204655889473,0.9542396056940224,-2.910238051970523,1.1322730017750726,0.1736486650646814,0.19897079776620108,-8.976118201456456,7.198153151261006,-9.3389390515061,7.56097400131065,2.568746794017283,22.141022047868546,0.19897079776620108,0.5604105562983289,False
SLC3A2,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-1.0056652458310424,0.27223681454064874,1.0619728687037433,0.4350528899105134,0.4350528899105134,-2.3901977079297554,0.3788672162676705,-2.3901977079297554,0.3788672162676705,0.1038794616615121,0.1038794616615121,-3.928645172367287,1.9173146807052024,-3.928645172367287,1.9173146807052024,5.047091094065479,40.559820615730715,0.1038794616615121,0.4580891220256462,False
SLC7A10,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-0.8435270635136974,0.0,0.5840778515359052,0.22582392789607494,0.2954844209080011,-1.5621995884912154,-0.12485453853617934,-1.7838903671012614,0.0968362400738666,0.03345182632659392,0.06485689830154348,-1.81516900331849,0.12811487629109508,-2.1148939137319474,0.42783978670455236,1.7522335546077157,0.0,0.06485689830154348,0.43880678261865175,False
SLC7A11,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE111154;GSE199838,3.0,0.5454204978061631,1.5123944569835233,1.128549452135882,0.8852850676549304,0.8852850676549304,-3.2636537151457605,4.354494710758087,-3.2636537151457605,4.354494710758087,0.600608613028237,0.600608613028237,-18.708249687959047,19.79909068357137,-18.708249687959047,19.79909068357137,6.155610622398569,67.50931592842225,0.600608613028237,0.7668828507484962,False
SLC7A5,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,-0.9368311906000296,0.0,0.2862003607303536,0.1588534641211441,0.29693514373684604,-1.4423738105738826,-0.43128857062617654,-1.8818113416942421,0.008148960494182789,0.00973320353387929,0.0510676730231989,-1.6203224816310284,-0.2533398995690308,-2.214439997357919,0.34077761615785984,0.8586010821910608,0.0,0.0510676730231989,0.4380293061545702,False
SLC7A6,descriptive whole/cortical-kidney sensitivity including small studies,GSE142025_advanced;GSE166239;GSE111154;GSE199838,GSE142025_advanced;GSE166239;GSE111154;GSE199838,4.0,1.0248111129004003,0.20095084520843554,0.814571461689794,0.35248811035014066,0.3905529092481426,-0.0969633715398408,2.1465855973406414,-0.21810255015415447,2.267724775954955,0.062129430874100375,0.07873000615489378,-1.428828104157418,3.4784503299582186,-1.5333047168296843,3.582926942630485,4.060032819068704,26.10897168343225,0.07873000615489378,0.43880678261865175,False
