gene_symbol,compartment_model,eligible_cohorts,contributing_cohorts,k,pooled_effect,tau2_reml,hk_scale,pooled_se_hk,pooled_se_modified_hk,ci_95_low_hk,ci_95_high_hk,ci_95_low_modified_hk,ci_95_high_modified_hk,p_value_hk,p_value_modified_hk,prediction_interval_95_low,prediction_interval_95_high,prediction_interval_95_low_modified_hk,prediction_interval_95_high_modified_hk,cochran_q,i2_percent,p_value_for_family,fdr_bh_canonical_union,fdr_lt_0_05
SNTB2,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,4.0,0.68674668847207,0.0,0.13946743934265968,0.07734350989083963,0.2071035117628741,0.4406051211822935,0.9328882557618465,0.02765088265103044,1.3458424942931095,0.0030120973942443755,0.045190327214169164,0.35396442451184434,1.0195289524322957,-0.20434780175515999,1.5778411786993,0.418402318027979,0.0,0.045190327214169164,0.44789906593284123,False
SNTG2,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7,3.0,0.9653394668407038,0.39979009986320213,1.0824806674274918,0.4533894949710987,0.4533894949710987,-0.9854380813364239,2.9161170150178313,-0.9854380813364239,2.9161170150178313,0.16700700012359995,0.16700700012359995,-8.92064418060362,10.851323114285027,-8.92064418060362,10.851323114285027,6.1425288082542355,67.44012014542885,0.16700700012359995,0.5933789592277746,False
SNW1,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,4.0,0.25712563518234743,0.5316780158900258,0.8445000489635316,0.4116549717198653,0.44795410975703465,-1.0529442086192071,1.567195478983902,-1.16846426635058,1.6827155367152749,0.5765040262818265,0.6061785169314814,-3.3456564608853547,3.8599077312500496,-3.424951990582658,3.939203260947353,11.718741711958199,74.39998189448362,0.6061785169314814,0.9874349929551088,False
SOS1,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,4.0,0.37228780180524185,0.14915422119953753,1.8306573126588737,0.4233602420639786,0.4233602420639786,-0.9750334363552831,1.7196090399657666,-0.9750334363552831,1.7196090399657666,0.4439480522616986,0.4439480522616986,-2.0933541522522305,2.837929755862714,-2.0933541522522305,2.837929755862714,7.494776520857712,59.97212202857416,0.4439480522616986,0.8625506397120719,False
SP1,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,4.0,-0.647466361539111,0.0,0.7922840287306089,0.18493671210460128,0.20776992433488276,-1.2360175176877162,-0.058915205390505876,-1.308682989587734,0.013750266509512166,0.03945215196407116,0.05262414909095641,-1.4431848107068639,0.14825208762864206,-1.5414281936384335,0.24649547056021148,2.3768520861918265,0.0,0.05262414909095641,0.46872114987964925,False
SPARC,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,4.0,-0.10615356890010395,0.06242671190309286,0.86740383632915,0.23458567438107514,0.25187833737451115,-0.8527098816066435,0.6404027438064356,-0.9077428530586202,0.6954357152584123,0.6816174644669246,0.7018030513068564,-1.5807596673788333,1.3684525295786256,-1.632652102174485,1.4203449643742774,3.506677702946352,14.448938450221288,0.7018030513068564,1.0,False
SPN,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7,3.0,0.3198691210519573,0.0,0.7193713218574121,0.1754238428279627,0.2068292990869799,-0.43491875515491696,1.0746569972588316,-0.5700455272568046,1.2097837693607192,0.2098101197859125,0.2620275253273636,-1.9091021415266674,2.5488403836305817,-2.3081462985867187,2.9478845406906338,1.4387426437148243,0.0,0.2620275253273636,0.683891841104419,False
SPOCK3,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,4.0,0.4487223013965078,0.1519044425865784,0.8976238874494239,0.2892914051369086,0.30534325449487115,-0.4719320620317792,1.3693766648247947,-0.5230162107139977,1.4204608135070134,0.21866803834673548,0.23801727697268726,-1.6397002347117207,2.5371448375047363,-1.6815859630477132,2.579030565840729,4.653086220028119,35.52666213045435,0.23801727697268726,0.6632296365466694,False
SPP1,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,4.0,0.5419887350897371,0.4214760806624789,0.8916556585423918,0.3930029457850196,0.41619534711642614,-0.7087220376894118,1.7926995078688859,-0.7825306096172034,1.8665080797966778,0.2616957343560684,0.2837927949752731,-2.723289279358834,3.807266749538308,-2.7760641986946544,3.8600416688741284,7.951468802965062,62.27112154572857,0.2837927949752731,0.7131893707288116,False
SRC,small-sample glomerular sensitivity including donor-averaged GSE1009,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,GSE96804;GSE30528;GSE104948_H7;GSE1009_donor_averaged,4.0,0.31439948600665846,0.5927182745460468,0.9079747038520454,0.44702354260861893,0.46913034044668356,-1.108228935542975,1.7370279075562918,-1.1785826326443778,1.8073816046576945,0.532527401463141,0.5507205147706563,-3.5160449838277565,4.144843955841074,-3.564678912771375,4.193477884784692,9.869369046553254,69.60292004636598,0.5507205147706563,0.9453366921446122,False
