cohort,source_study,compartment,gene_symbol,n_case,n_control,case_mean,control_mean,raw_mean_difference,hedges_g,variance,welch_p_value,welch_p_for_canonical_union,welch_fdr_bh_canonical_union,analysis_tier
GSE111154,GSE111154,whole/cortical kidney,PLOD2,4.0,4.0,10.7531,10.844999999999999,-0.09189999999999898,-0.24245793278060904,0.5048988207640205,0.7121113809767583,0.7121113809767583,0.9308294870125533,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PLOD3,4.0,4.0,6.763417499999999,6.72467,0.03874749999999949,0.3812967772531454,0.5121156026953029,0.5616404368978304,0.5616404368978304,0.8687641436824731,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PMEPA1,4.0,4.0,6.416617499999999,6.45564,-0.039022500000000626,-0.25081625914347305,0.5052423996542271,0.7029245199215738,0.7029245199215738,0.9308294870125533,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PPBP,4.0,4.0,4.326357499999999,4.34189,-0.015532500000000837,-0.08569061488009197,0.5006119067898773,0.89465106155343,0.89465106155343,0.9866363115441348,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PPIA,4.0,4.0,10.317125,10.149765,0.1673600000000004,0.588960132622975,0.5289061698182727,0.4038465522894141,0.4038465522894141,0.7671255753313775,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PPIB,4.0,4.0,14.4379,14.178425,0.2594750000000001,1.2999556776442618,0.6408237303199626,0.0833535769217823,0.0833535769217823,0.6627435361748365,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PPIL2,4.0,4.0,7.966365,8.003577499999999,-0.03721249999999898,-0.20665943257182334,0.5035590100892423,0.7567969871524652,0.7567969871524652,0.9437876675188093,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PPM1A,4.0,4.0,9.423085,9.51229,-0.08920499999999976,-0.2777255315774498,0.5064276225741647,0.6781104298739098,0.6781104298739098,0.9138734364737889,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PPP1CA,4.0,4.0,9.6032525,9.7396125,-0.13635999999999981,-0.8312104509696476,0.5575759011500971,0.24083987031778298,0.24083987031778298,0.684910221132566,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PPP1CB,4.0,4.0,13.0148,12.6166,0.3981999999999992,1.1775712039186352,0.615556161691532,0.11879798640096377,0.11879798640096377,0.6627435361748365,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PPP1CC,4.0,4.0,11.035825,10.928374999999999,0.10745000000000182,0.5750158060333791,0.527553598099018,0.40324760546687705,0.40324760546687705,0.7671255753313775,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PPP1R15A,4.0,4.0,5.69492,5.8036175000000005,-0.10869750000000078,-0.41370411091252746,0.5142625909488271,0.5428235073076076,0.5428235073076076,0.8645897698617482,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PRKCA,4.0,4.0,11.19025,10.98805,0.20220000000000127,1.2194935247685583,0.6239303714127036,0.09476710405620851,0.09476710405620851,0.6627435361748365,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PRKCZ,4.0,4.0,6.881519999999999,7.0478425,-0.1663225000000006,-0.8530010792274028,0.5606342367635928,0.21729158459472023,0.21729158459472023,0.6646066825690076,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PROC,4.0,4.0,5.827805,5.97575,-0.147945,-0.6027663838791717,0.5302772761278978,0.3887816746639614,0.3887816746639614,0.7669649182708401,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PROCR,4.0,4.0,6.7837125,6.879647500000001,-0.09593500000000077,-0.3074172119656503,0.5078754451843944,0.6352833958738472,0.6352833958738472,0.9026692670741464,compartment-specific contextual analysis
GSE111154,GSE111154,whole/cortical kidney,PROS1,4.0,4.0,10.412500000000001,9.90494,0.5075600000000016,0.7857714848857899,0.5514530688716349,0.274424778864196,0.274424778864196,0.7115053041412763,compartment-specific contextual analysis
