gene_symbol,compartment_model,eligible_cohorts,contributing_cohorts,k,pooled_effect,tau2_reml,hk_scale,pooled_se_hk,pooled_se_modified_hk,ci_95_low_hk,ci_95_high_hk,ci_95_low_modified_hk,ci_95_high_modified_hk,p_value_hk,p_value_modified_hk,prediction_interval_95_low,prediction_interval_95_high,prediction_interval_95_low_modified_hk,prediction_interval_95_high_modified_hk,cochran_q,i2_percent,p_value_for_family,fdr_bh_canonical_union,fdr_lt_0_05
PSMD7,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE30528;GSE104948_H7,3.0,0.37561406768654904,1.1569907306205007,1.0241128497876382,0.6733466189112698,0.6733466189112698,-2.5215626002395966,3.2727907356126944,-2.5215626002395966,3.2727907356126944,0.6330671111371531,0.6330671111371531,-15.748686903290327,16.499915038663424,-15.748686903290327,16.499915038663424,14.069566928572044,85.7849213827722,0.6330671111371531,1.0,False
PSMD8,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE30528;GSE104948_H7,3.0,0.007776588453512579,1.764996234175749,0.9885571391783465,0.798536022340222,0.8031443781337435,-3.4280466078719214,3.443599784778946,-3.447874762506573,3.463427939413598,0.993113963674686,0.9931534731507773,-19.687480205150536,19.703033382057562,-19.717709551468083,19.73326272837511,26.36060995029435,92.4129221449306,0.9931534731507773,1.0,False
PTPN11,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE30528;GSE104948_H7,3.0,-0.37923363477509847,0.0,0.5896231086592348,0.1591000208555928,0.20719677362797168,-1.063785773812611,0.3053185042624142,-1.2707293984207721,0.5122621288705751,0.1399774917705772,0.2086910878479256,-2.4007910732959243,1.6423238037457275,-3.011918261166948,2.2534509916167513,1.1792462173184697,0.0,0.2086910878479256,0.754127183883559,False
PTPN6,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE30528;GSE104948_H7,3.0,1.114211727357635,2.9970130673548483,0.9983239906648803,1.0354608290893774,1.0363296423542459,-3.3410166354724153,5.569440090187685,-3.344754837238144,5.573178291953415,0.3944703611220678,0.3947920209937677,-24.517047934371945,26.745471389087214,-24.52271627586529,26.751139730580558,33.33209199695341,93.99977655113035,0.3947920209937677,0.8515761775154824,False
PTPRS,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE30528;GSE104948_H7,3.0,0.18629316218091133,0.0,0.43946361906967396,0.13645691751437802,0.2058420472676024,-0.4008335664555245,0.7734198908173471,-0.699373684392256,1.0719600087540786,0.30546647033763175,0.46097461287356806,-1.5475563694240781,1.920142693785901,-2.4291780337145936,2.8017643580764164,0.8789272381393479,0.0,0.46097461287356806,0.911529979194098,False
PXDN,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE30528;GSE104948_H7,3.0,1.3301279771312216,1.7081764508191095,1.0368030736178593,0.8142382964108428,0.8142382964108428,-2.173256651587443,4.833512605849886,-2.173256651587443,4.833512605849886,0.24395355155708093,0.24395355155708093,-18.235613934039257,20.895869888301704,-18.235613934039257,20.895869888301704,15.213074791103434,86.85341374138518,0.24395355155708093,0.7663284375949244,False
RBL1,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE30528;GSE104948_H7,3.0,-0.0712854426678188,0.5139469485752929,1.06001480650561,0.48738654571220436,0.48738654571220436,-2.168340494019596,2.0257696086839583,-2.168340494019596,2.0257696086839583,0.8971268528823565,0.8971268528823565,-11.086125650184474,10.943554764848837,-11.086125650184474,10.943554764848837,7.61098232553357,73.7221830973075,0.8971268528823565,1.0,False
RBX1,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE30528;GSE104948_H7,2.0,0.569336852435852,0.6891277441314201,1.0000000111827843,0.6704676403811204,0.6704676403811204,-7.949762255226611,9.088435960098314,-7.949762255226611,9.088435960098314,0.5518143266455755,0.5518143266455755,,,,,4.274124965930544,76.6033981698922,0.5518143266455755,0.9731320219898325,False
RHOA,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE30528;GSE104948_H7,3.0,0.0988888012239401,0.896614760559545,0.9961420975118762,0.593023295008988,0.5941705285372008,-2.4526844978515023,2.6504621002993827,-2.457620645323327,2.6553982477712075,0.8828986038160046,0.8831216133650496,-14.097367651892313,14.295145254340191,-14.105110182144864,14.302887784592743,13.856933776378526,85.56679253667694,0.8831216133650496,1.0,False
RNF111,primary glomerular three-source-study synthesis,GSE96804;GSE30528;GSE104948_H7,GSE96804;GSE30528;GSE104948_H7,3.0,-0.4373720547411956,0.9153004544825447,1.0452505145488307,0.6153051679039968,0.6153051679039968,-3.084816515052278,2.2100724055698873,-3.084816515052278,2.2100724055698873,0.5509099229361591,0.5509099229361591,-14.890650084660967,14.015905975178574,-14.890650084660967,14.015905975178574,10.752256003489745,81.39925240478945,0.5509099229361591,0.9731320219898325,False
