cohort,gene_symbol,hedges_g_highest_mean,hedges_g_median_probe,direction_changed
GSE30528,PRKCA,0.42991934688466943,0.2418776408598171,False
GSE30528,PRKCZ,0.13306066860629354,0.13306066860629354,False
GSE30528,PROC,-0.2824291306077404,-0.2824291306077404,False
GSE30528,PROCR,1.6175720781068517,1.6175720781068517,False
GSE30528,PROS1,0.2030205321349655,0.2030205321349655,False
GSE30528,PROZ,0.3216587547615491,0.3216587547615491,False
GSE30528,PRSS1,0.6359308890714487,0.6359308890714487,False
GSE30528,PRSS2,0.49938526678487033,0.13502071184028247,False
GSE30528,PRTN3,0.12116944934015852,0.12116944934015852,False
GSE30528,PSEN1,0.8260299440776399,0.12029107010744296,False
GSE30528,PSG1,0.5196442037092492,0.5160014058159211,False
GSE30528,PSG11,0.5372384862417473,0.9992169002101734,False
GSE30528,PSG2,0.21563344057240788,0.21563344057240788,False
GSE30528,PSG3,0.38025010955489513,0.38025010955489513,False
GSE30528,PSG4,-0.06223004300195744,-0.06223004300195744,False
GSE30528,PSG5,-0.11921088339190304,-0.11921088339190304,False
GSE30528,PSG6,-1.4461816195737203,-0.6045184668610954,False
GSE30528,PSG7,0.25559740238842116,0.25559740238842116,False
GSE30528,PSG9,0.41251492210236657,0.16769931092585494,False
GSE30528,PSMA1,-0.008008223440472952,-1.0113976077077338,False
GSE30528,PSMA2,-0.42349002750376297,-0.1970570535286191,False
GSE30528,PSMA3,-0.4117126991789036,-0.4117126991789036,False
GSE30528,PSMA4,-0.14475802116528633,-0.14475802116528633,False
GSE30528,PSMA5,-0.7068574508241435,-0.7068574508241435,False
GSE30528,PSMA7,0.08346492634005398,-0.12267182801706453,True
GSE30528,PSMB1,0.07909967076810404,-0.09602462052317362,True
GSE30528,PSMB2,0.5654646376747694,-0.14433962032881797,True
GSE30528,PSMB3,0.2700952134534832,0.2700952134534832,False
GSE30528,PSMB4,0.36360345087585333,0.31523366429881317,False
GSE30528,PSMB5,0.30588923467700296,0.30588923467700296,False
GSE30528,PSMB6,0.6617444996335587,0.6617444996335587,False
GSE30528,PSMB7,-0.03757766656602853,-0.03757766656602853,False
GSE30528,PSMC1,-0.24814713583752449,-0.24814713583752449,False
GSE30528,PSMC2,-0.1271498098476489,-0.7564238670031697,False
GSE30528,PSMC3,-0.18042733527204707,-0.18042733527204707,False
GSE30528,PSMC4,0.2853062612401481,0.2853062612401481,False
GSE30528,PSMC5,-0.315244212731964,-0.315244212731964,False
GSE30528,PSMC6,-1.4294828918867388,-1.4294828918867388,False
GSE30528,PSMD1,-1.8718986642572764,-1.5468029743234073,False
GSE30528,PSMD11,0.25126116465629594,-0.8370069709591635,True
GSE30528,PSMD12,-1.4539813475085368,-1.525476890676677,False
GSE30528,PSMD13,0.4153192698051363,0.409525178026295,False
GSE30528,PSMD14,-0.3745042872111489,-0.3745042872111489,False
GSE30528,PSMD2,-0.19745171151882412,-0.19745171151882412,False
GSE30528,PSMD3,-0.0013307335856559905,-0.0013307335856559905,False
GSE30528,PSMD6,-0.908051411589251,-0.908051411589251,False
GSE30528,PSMD7,-0.9809330020454787,-0.9809330020454787,False
GSE30528,PSMD8,0.300426073979094,0.300426073979094,False
GSE30528,PTPN11,0.008486920168954512,-0.4695223894181945,True
GSE30528,PTPN6,1.2291876852236798,1.2291876852236798,False
GSE30528,PTPRS,0.3337551404063841,0.3337551404063841,False
GSE30528,PXDN,-0.01740140614526163,-0.04762145899104495,False
GSE30528,RBL1,0.5285639977659997,0.5285639977659997,False
GSE30528,RBX1,-0.0847385259595174,-0.0847385259595174,False
GSE30528,RHOA,0.032348597056466116,0.032348597056466116,False
GSE30528,RNF111,-1.4816093862157405,-1.4816093862157405,False
GSE30528,RPS27A,-0.17005344901470693,-0.17005344901470693,False
GSE30528,SCUBE3,-0.2915862690095926,-0.2915862690095926,False
GSE30528,SDC1,0.9185099316346895,0.6360695250102874,False
GSE30528,SDC2,-2.044133666332483,-2.729249972063178,False
GSE30528,SDC3,-0.6971767971484772,-0.6971767971484772,False
GSE30528,SDC4,-0.2682550031251601,-0.2682550031251601,False
GSE30528,SELE,0.6443553017551872,0.6443553017551872,False
GSE30528,SELL,0.9325438815595125,0.9325438815595125,False
GSE30528,SELP,-0.057891755729984194,-0.057891755729984194,False
GSE30528,SELPLG,1.2505727525297212,1.3372704714368746,False
